,name,rating,volumes,date,url
57,"""Oshi no Ko""",8.67,Manga (? vols),Apr 2020 -,https://myanimelist.net/manga/126146/Oshi_no_Ko
58,Yagate Kimi ni Naru,8.67,Manga (8 vols),Apr 2015 - Sep 2019,https://myanimelist.net/manga/88660/Yagate_Kimi_ni_Naru
59,Kozure Ookami,8.66,Manga (28 vols),Sep 1970 - Apr 1976,https://myanimelist.net/manga/904/Kozure_Ookami
60,Natsume Yuujinchou,8.66,Manga (? vols),Jun 2003 -,https://myanimelist.net/manga/1859/Natsume_Yuujinchou
61,Zaregoto Series,8.65,Light Novel (? vols),Feb 2002 -,https://myanimelist.net/manga/9726/Zaregoto_Series
62,Shinyaku Toaru Majutsu no Index,8.65,Light Novel (23 vols),Mar 2011 - Jul 2019,https://myanimelist.net/manga/24875/Shinyaku_Toaru_Majutsu_no_Index
63,Blue Period,8.65,Manga (? vols),Jun 2017 -,https://myanimelist.net/manga/107931/Blue_Period
64,ReLIFE,8.65,Manga (15 vols),Oct 2013 - Mar 2018,https://myanimelist.net/manga/78523/ReLIFE
65,Overlord,8.65,Light Novel (? vols),Jul 2012 -,https://myanimelist.net/manga/81669/Overlord
66,Kimi no Suizou wo Tabetai,8.65,Novel (1 vols),Jun 2015 - Jun 2015,https://myanimelist.net/manga/117077/Kimi_no_Suizou_wo_Tabetai
67,Koten-bu Series,8.64,Novel (? vols),Oct 2001 -,https://myanimelist.net/manga/35513/Koten-bu_Series
68,Violet Evergarden,8.64,Light Novel (2 vols),Dec 2015 - Dec 2016,https://myanimelist.net/manga/98930/Violet_Evergarden
69,JoJo no Kimyou na Bouken Part 9: The JoJoLands,8.63,Manga (? vols),Feb 2023 -,https://myanimelist.net/manga/139629/JoJo_no_Kimyou_na_Bouken_Part_9__The_JoJoLands
70,Aria,8.63,Manga (12 vols),Feb 2002 - Feb 2008,https://myanimelist.net/manga/81/Aria
71,Kino no Tabi: The Beautiful World,8.63,Light Novel (? vols),Mar 2000 -,https://myanimelist.net/manga/399/Kino_no_Tabi__The_Beautiful_World
72,Banana Fish,8.63,Manga (19 vols),Apr 1985 - Mar 1994,https://myanimelist.net/manga/756/Banana_Fish
73,Golden Kamuy,8.63,Manga (31 vols),Aug 2014 - Apr 2022,https://myanimelist.net/manga/85968/Golden_Kamuy
74,Kono Subarashii Sekai ni Shukufuku wo!,8.62,Light Novel (17 vols),Oct 2013 - May 2020,https://myanimelist.net/manga/60553/Kono_Subarashii_Sekai_ni_Shukufuku_wo
75,"Umarekawattemo Mata, Watashi to Kekkon shitekuremasu ka",8.62,Manga (4 vols),Oct 2017 - Sep 2019,https://myanimelist.net/manga/114043/Umarekawattemo_Mata_Watashi_to_Kekkon_shitekuremasu_ka
76,Fata Morgana no Yakata: Anata no Genten ni Itaru Monogatari,8.62,Light Novel (5 vols),Aug 2014 - Jan 2016,https://myanimelist.net/manga/102875/Fata_Morgana_no_Yakata__Anata_no_Genten_ni_Itaru_Monogatari
77,Gintama,8.62,Manga (77 vols),Dec 2003 - Jun 2019,https://myanimelist.net/manga/44/Gintama
78,Pluto,8.61,Manga (8 vols),Sep 2003 - Apr 2009,https://myanimelist.net/manga/745/Pluto
79,Sousou no Frieren,8.61,Manga (? vols),Apr 2020 -,https://myanimelist.net/manga/126287/Sousou_no_Frieren
80,Mob Psycho 100,8.61,Manga (16 vols),Apr 2012 - Dec 2017,https://myanimelist.net/manga/60783/Mob_Psycho_100
81,Seishun Buta Yarou Series,8.60,Light Novel (? vols),Apr 2014 -,https://myanimelist.net/manga/70399/Seishun_Buta_Yarou_Series
82,Bungou Stray Dogs: Beast,8.60,Manga (4 vols),Dec 2019 - Jan 2022,https://myanimelist.net/manga/123006/Bungou_Stray_Dogs__Beast
83,Kaoru Hana wa Rin to Saku,8.60,Manga (? vols),Oct 2021 -,https://myanimelist.net/manga/144267/Kaoru_Hana_wa_Rin_to_Saku
84,Hi no Tori (1967),8.60,Manga (16 vols),Dec 1966 - Feb 1988,https://myanimelist.net/manga/1325/Hi_no_Tori_1967
85,Ao Ashi,8.60,Manga (? vols),Jan 2015 -,https://myanimelist.net/manga/102256/Ao_Ashi
86,Tongari Boushi no Atelier,8.59,Manga (? vols),Jul 2016 -,https://myanimelist.net/manga/100035/Tongari_Boushi_no_Atelier
87,Spy x Family,8.59,Manga (? vols),Mar 2019 -,https://myanimelist.net/manga/119161/Spy_x_Family
88,Ginga Eiyuu Densetsu,8.59,Novel (10 vols),Nov 1982 - Nov 1987,https://myanimelist.net/manga/6978/Ginga_Eiyuu_Densetsu
89,Shigatsu wa Kimi no Uso,8.59,Manga (11 vols),Apr 2011 - Feb 2015,https://myanimelist.net/manga/37707/Shigatsu_wa_Kimi_no_Uso
90,Umineko no Naku Koro ni Chiru - Episode 7: Requiem of the Golden Witch,8.58,Manga (9 vols),Apr 2011 - Mar 2015,https://myanimelist.net/manga/23900/Umineko_no_Naku_Koro_ni_Chiru_-_Episode_7__Requiem_of_the_Golden_Witch
91,Wind Breaker,8.58,Manhwa (? vols),Dec 2013 -,https://myanimelist.net/manga/103237/Wind_Breaker
92,Jibaku Shounen Hanako-kun,8.58,Manga (? vols),Dec 2014 -,https://myanimelist.net/manga/105084/Jibaku_Shounen_Hanako-kun
93,Monogatari Series: Monster Season,8.58,Light Novel (6 vols),Jul 2017 - Aug 2021,https://myanimelist.net/manga/108177/Monogatari_Series__Monster_Season
94,Tian Guan Ci Fu,8.58,Manhua (? vols),Oct 2019 -,https://myanimelist.net/manga/140765/Tian_Guan_Ci_Fu
95,Skip Beat!,8.57,Manga (? vols),Feb 2002 -,https://myanimelist.net/manga/610/Skip_Beat
96,Neon Genesis Evangelion,8.57,Manga (14 vols),Dec 1994 - Jun 2013,https://myanimelist.net/manga/698/Neon_Genesis_Evangelion
97,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,8.57,Manga (18 vols),Apr 1992 - Nov 1995,https://myanimelist.net/manga/3006/JoJo_no_Kimyou_na_Bouken_Part_4__Diamond_wa_Kudakenai
98,Pandora Hearts,8.57,Manga (24 vols),May 2006 - Mar 2015,https://myanimelist.net/manga/3031/Pandora_Hearts
99,Rurouni Kenshin: Meiji Kenkaku Romantan,8.56,Manga (28 vols),Apr 1994 - Sep 1999,https://myanimelist.net/manga/22/Rurouni_Kenshin__Meiji_Kenkaku_Romantan
100,Suzumiya Haruhi Series,8.56,Light Novel (? vols),Jun 2003 -,https://myanimelist.net/manga/3083/Suzumiya_Haruhi_Series
101,One Outs,8.56,Manga (20 vols),Nov 1998 - Aug 2006,https://myanimelist.net/manga/11327/One_Outs
102,Otoyomegatari,8.56,Manga (? vols),Oct 2008 -,https://myanimelist.net/manga/11514/Otoyomegatari
103,Diamond no Ace Act II,8.56,Manga (34 vols),Aug 2015 - Oct 2022,https://myanimelist.net/manga/92559/Diamond_no_Ace_Act_II
104,Blue Lock,8.56,Manga (? vols),Aug 2018 -,https://myanimelist.net/manga/114745/Blue_Lock
105,Tian Guan Ci Fu,8.55,Novel (6 vols),Feb 2021 - Mar 2022,https://myanimelist.net/manga/130826/Tian_Guan_Ci_Fu
106,Kara no Kyoukai: The Garden of Sinners,8.55,Light Novel (2 vols),Oct 1998 - Aug 1999,https://myanimelist.net/manga/2062/Kara_no_Kyoukai__The_Garden_of_Sinners
107,Chihayafuru,8.55,Manga (50 vols),Dec 2007 - Aug 2022,https://myanimelist.net/manga/13245/Chihayafuru
108,Tobaku Datenroku Kaiji: One Poker-hen,8.55,Manga (16 vols),Jun 2013 - Aug 2017,https://myanimelist.net/manga/61579/Tobaku_Datenroku_Kaiji__One_Poker-hen
109,Given,8.55,Manga (9 vols),Apr 2013 - Mar 2023,https://myanimelist.net/manga/79085/Given
110,Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?,8.55,Light Novel (5 vols),Nov 2014 - Apr 2016,https://myanimelist.net/manga/81211/Shuumatsu_Nani_Shitemasu_ka_Isogashii_desu_ka_Sukutte_Moratte_Ii_desu_ka
111,Shingeki no Kyojin,8.55,Manga (34 vols),Sep 2009 - Apr 2021,https://myanimelist.net/manga/23390/Shingeki_no_Kyojin
112,Monogatari Series: Off Season,8.55,Light Novel (4 vols),Oct 2015 - Jan 2017,https://myanimelist.net/manga/93097/Monogatari_Series__Off_Season
113,Sasaki to Miyano,8.54,Manga (? vols),Feb 2016 -,https://myanimelist.net/manga/101396/Sasaki_to_Miyano
114,Kimi wa Houkago Insomnia,8.54,Manga (? vols),May 2019 -,https://myanimelist.net/manga/121213/Kimi_wa_Houkago_Insomnia
115,Souyaku Toaru Majutsu no Index,8.54,Light Novel (? vols),Feb 2020 -,https://myanimelist.net/manga/124374/Souyaku_Toaru_Majutsu_no_Index
116,Kamisama Hajimemashita,8.54,Manga (25 vols),Feb 2008 - May 2016,https://myanimelist.net/manga/8157/Kamisama_Hajimemashita
117,Kakukaku Shikajika,8.54,Manga (5 vols),Nov 2011 - Jan 2015,https://myanimelist.net/manga/44307/Kakukaku_Shikajika
