,name,rating,volumes,date,url
163,Doraemon,8.45,Manga (45 vols),Dec 1969 - 1996,https://myanimelist.net/manga/1032/Doraemon
164,Ookami to Koushinryou,8.45,Manga (16 vols),Sep 2007 - Dec 2017,https://myanimelist.net/manga/3299/Ookami_to_Koushinryou
165,Tomodachi Game,8.45,Manga (? vols),Dec 2013 -,https://myanimelist.net/manga/62795/Tomodachi_Game
166,Adachi to Shimamura,8.45,Light Novel (? vols),Oct 2012 -,https://myanimelist.net/manga/77597/Adachi_to_Shimamura
167,Yagate Kimi ni Naru: Saeki Sayaka ni Tsuite,8.45,Light Novel (3 vols),Nov 2018 - Mar 2020,https://myanimelist.net/manga/115506/Yagate_Kimi_ni_Naru__Saeki_Sayaka_ni_Tsuite
168,Here U Are,8.45,Manhua (? vols),Nov 2017 - Dec 2020,https://myanimelist.net/manga/119072/Here_U_Are
169,Umineko no Naku Koro ni Chiru - Episode 6: Dawn of the Golden Witch,8.44,Manga (6 vols),Nov 2010 - Nov 2012,https://myanimelist.net/manga/21499/Umineko_no_Naku_Koro_ni_Chiru_-_Episode_6__Dawn_of_the_Golden_Witch
170,Gekkan Shoujo Nozaki-kun,8.44,Manga (? vols),Aug 2011 -,https://myanimelist.net/manga/29211/Gekkan_Shoujo_Nozaki-kun
171,Barakamon,8.44,Manga (18 vols),Feb 2008 - Jan 2019,https://myanimelist.net/manga/17051/Barakamon
172,Who Made Me a Princess,8.44,Manhwa (9 vols),Dec 2017 - Apr 2022,https://myanimelist.net/manga/121269/Who_Made_Me_a_Princess
173,Mo Dao Zu Shi,8.44,Manhua (? vols),Dec 2017 - Oct 2022,https://myanimelist.net/manga/137200/Mo_Dao_Zu_Shi
174,Yubisaki to Renren,8.43,Manga (? vols),Jul 2019 -,https://myanimelist.net/manga/121504/Yubisaki_to_Renren
175,Horimiya,8.43,Manga (16 vols),Oct 2011 - Mar 2021,https://myanimelist.net/manga/42451/Horimiya
176,Blue Giant,8.43,Manga (10 vols),May 2013 - Aug 2016,https://myanimelist.net/manga/85719/Blue_Giant
177,Mugen no Juunin,8.43,Manga (30 vols),Jun 1993 - Dec 2012,https://myanimelist.net/manga/658/Mugen_no_Juunin
178,21st Century Boys,8.43,Manga (2 vols),Dec 2006 - Jul 2007,https://myanimelist.net/manga/743/21st_Century_Boys
179,Juuni Kokuki,8.42,Light Novel (? vols),Jun 1992 -,https://myanimelist.net/manga/3807/Juuni_Kokuki
180,Innocent Rouge,8.42,Manga (12 vols),May 2015 - Jan 2020,https://myanimelist.net/manga/93699/Innocent_Rouge
181,Bungou Stray Dogs,8.42,Light Novel (? vols),Apr 2014 -,https://myanimelist.net/manga/98380/Bungou_Stray_Dogs
182,Kage no Jitsuryokusha ni Naritakute!,8.42,Light Novel (? vols),Nov 2018 -,https://myanimelist.net/manga/115922/Kage_no_Jitsuryokusha_ni_Naritakute
183,Umineko no Naku Koro ni Chiru,8.42,Light Novel (7 vols),Jul 2012 - Sep 2018,https://myanimelist.net/manga/79993/Umineko_no_Naku_Koro_ni_Chiru
184,The Boxer,8.42,Manhwa (? vols),Dec 2019 - May 2022,https://myanimelist.net/manga/141120/The_Boxer
185,Omniscient Reader,8.42,Novel (? vols),Jan 2022 -,https://myanimelist.net/manga/143441/Omniscient_Reader
186,Youjo Senki,8.41,Light Novel (? vols),Oct 2013 -,https://myanimelist.net/manga/88930/Youjo_Senki
187,Dragon Ball,8.41,Manga (42 vols),Nov 1984 - May 1995,https://myanimelist.net/manga/42/Dragon_Ball
188,Nodame Cantabile,8.41,Manga (25 vols),Jul 2001 - Aug 2010,https://myanimelist.net/manga/419/Nodame_Cantabile
189,Tobaku Mokushiroku Kaiji,8.41,Manga (13 vols),Feb 1996 - Jul 1999,https://myanimelist.net/manga/3572/Tobaku_Mokushiroku_Kaiji
190,Kuroshitsuji,8.41,Manga (? vols),Sep 2006 -,https://myanimelist.net/manga/3866/Kuroshitsuji
191,Onanie Master Kurosawa,8.41,Manga (4 vols),Sep 2007 - Mar 2008,https://myanimelist.net/manga/8967/Onanie_Master_Kurosawa
192,Toaru Majutsu no Index,8.41,Light Novel (22 vols),Apr 2004 - Oct 2010,https://myanimelist.net/manga/12854/Toaru_Majutsu_no_Index
193,"Mata, Onaji Yume wo Miteita",8.41,Manga (3 vols),Sep 2017 - Aug 2018,https://myanimelist.net/manga/110160/Mata_Onaji_Yume_wo_Miteita
194,Hirano to Kagiura,8.41,Manga (? vols),Mar 2019 -,https://myanimelist.net/manga/119279/Hirano_to_Kagiura
195,Veil,8.41,Manga (? vols),Nov 2019 -,https://myanimelist.net/manga/132678/Veil
196,Nan Hao Shang Feng,8.41,Manhua (? vols),Apr 2021 -,https://myanimelist.net/manga/138533/Nan_Hao_Shang_Feng
197,Noragami,8.40,Manga (? vols),Dec 2010 -,https://myanimelist.net/manga/24692/Noragami
198,No.6,8.40,Novel (9 vols),Oct 2003 - Jun 2011,https://myanimelist.net/manga/26728/No6
199,Imawa no Kuni no Alice,8.40,Manga (18 vols),Nov 2010 - Mar 2016,https://myanimelist.net/manga/33031/Imawa_no_Kuni_no_Alice
200,Eleceed,8.40,Manhwa (? vols),Oct 2018 -,https://myanimelist.net/manga/147171/Eleceed
201,Gunnm,8.40,Manga (9 vols),Nov 1990 - Mar 1995,https://myanimelist.net/manga/768/Gunnm
202,Basara,8.40,Manga (27 vols),Aug 1990 - May 1998,https://myanimelist.net/manga/974/Basara
203,Tobaku Hakairoku Kaiji,8.40,Manga (13 vols),Nov 2000 - Apr 2004,https://myanimelist.net/manga/3573/Tobaku_Hakairoku_Kaiji
204,My Girl,8.40,Manga (5 vols),Jun 2006 - Sep 2010,https://myanimelist.net/manga/6164/My_Girl
205,The Breaker,8.40,Manhwa (10 vols),Jun 2007 - Jul 2010,https://myanimelist.net/manga/8586/The_Breaker
206,Shousetsu Akatsuki no Yona: Onaji Tsuki no Shita de,8.40,Light Novel (1 vols),Mar 2015 - Mar 2015,https://myanimelist.net/manga/87953/Shousetsu_Akatsuki_no_Yona__Onaji_Tsuki_no_Shita_de
207,Tensei shitara Slime Datta Ken,8.39,Manga (? vols),Mar 2015 -,https://myanimelist.net/manga/87609/Tensei_shitara_Slime_Datta_Ken
208,Koe no Katachi,8.39,One-shot (? vols),Jan 2011 - Jan 2011,https://myanimelist.net/manga/48621/Koe_no_Katachi
209,Yuru Camp△,8.39,Manga (? vols),May 2015 -,https://myanimelist.net/manga/94376/Yuru_Camp△
210,"Kumo desu ga, Nani ka?",8.39,Light Novel (16 vols),Dec 2015 - Jan 2022,https://myanimelist.net/manga/95012/Kumo_desu_ga_Nani_ka
211,Kimi no Na wa.,8.39,Manga (3 vols),May 2016 - Jan 2017,https://myanimelist.net/manga/99314/Kimi_no_Na_wa
212,Tower of God,8.39,Manhwa (? vols),Jul 2010 -,https://myanimelist.net/manga/122663/Tower_of_God
213,Medalist,8.39,Manga (? vols),May 2020 -,https://myanimelist.net/manga/129621/Medalist
214,Omniscient Reader,8.39,Manhwa (? vols),May 2020 -,https://myanimelist.net/manga/132214/Omniscient_Reader
215,The Legend of the Northern Blade,8.39,Manhwa (? vols),Dec 2019 -,https://myanimelist.net/manga/134744/The_Legend_of_the_Northern_Blade
216,Kaichou wa Maid-sama!,8.39,Manga (18 vols),Dec 2005 - Sep 2013,https://myanimelist.net/manga/2921/Kaichou_wa_Maid-sama
217,Bakuman.,8.39,Manga (20 vols),Aug 2008 - Apr 2012,https://myanimelist.net/manga/9711/Bakuman
218,Cardcaptor Sakura,8.38,Manga (12 vols),May 1996 - Jul 2000,https://myanimelist.net/manga/106/Cardcaptor_Sakura
219,Kiseijuu,8.38,Manga (10 vols),Nov 1989 - Dec 1995,https://myanimelist.net/manga/401/Kiseijuu
220,Dungeon Meshi,8.38,Manga (? vols),Feb 2014 -,https://myanimelist.net/manga/85781/Dungeon_Meshi
221,Shiori Experience: Jimi na Watashi to Hen na Ojisan,8.38,Manga (? vols),Oct 2013 -,https://myanimelist.net/manga/87397/Shiori_Experience__Jimi_na_Watashi_to_Hen_na_Ojisan
222,Toshokan no Daimajutsushi,8.38,Manga (? vols),Nov 2017 -,https://myanimelist.net/manga/110771/Toshokan_no_Daimajutsushi
223,Shadows House,8.38,Manga (? vols),Sep 2018 -,https://myanimelist.net/manga/115730/Shadows_House
224,Look Back,8.38,Manga (1 vols),Jul 2021 - Jul 2021,https://myanimelist.net/manga/138673/Look_Back
225,xxxHOLiC,8.37,Manga (19 vols),Feb 2003 - Feb 2011,https://myanimelist.net/manga/10/xxxHOLiC
226,SKET Dance,8.37,Manga (32 vols),Jul 2007 - Jul 2013,https://myanimelist.net/manga/1414/SKET_Dance
227,Nichijou,8.37,Manga (? vols),Jun 2006 -,https://myanimelist.net/manga/3082/Nichijou
228,Wotaku ni Koi wa Muzukashii,8.37,Manga (11 vols),Apr 2015 - Jul 2021,https://myanimelist.net/manga/89087/Wotaku_ni_Koi_wa_Muzukashii
229,Re:Zero kara Hajimeru Isekai Seikatsu Ex,8.37,Light Novel (? vols),Jun 2015 -,https://myanimelist.net/manga/95243/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_Ex
230,Katanagatari,8.37,Light Novel (12 vols),Jan 2007 - Dec 2007,https://myanimelist.net/manga/18161/Katanagatari
231,The Breaker: New Waves,8.37,Manhwa (20 vols),Oct 2010 - May 2015,https://myanimelist.net/manga/22651/The_Breaker__New_Waves
232,Boku dake ga Inai Machi,8.37,Manga (9 vols),Jun 2012 - Nov 2016,https://myanimelist.net/manga/39325/Boku_dake_ga_Inai_Machi
233,Harukaze no Étranger,8.37,Manga (? vols),Jul 2014 -,https://myanimelist.net/manga/77609/Harukaze_no_Étranger
234,Machida-kun no Sekai,8.36,Manga (7 vols),Jun 2013 - Apr 2018,https://myanimelist.net/manga/58141/Machida-kun_no_Sekai
235,SQ: Begin W/Your Name!,8.36,Manhua (1 vols),Oct 2015 - Oct 2015,https://myanimelist.net/manga/93516/SQ__Begin_W_Your_Name
236,Homunculus,8.36,Manga (15 vols),Mar 2003 - Feb 2011,https://myanimelist.net/manga/936/Homunculus
237,Hadashi no Gen,8.36,Manga (10 vols),May 1973 - Sep 1974,https://myanimelist.net/manga/3281/Hadashi_no_Gen
238,Daichouhen Doraemon,8.36,Manga (24 vols),Jan 1980 - Mar 2004,https://myanimelist.net/manga/12471/Daichouhen_Doraemon
239,Song of the Long March,8.36,Manhua (? vols),Feb 2011 -,https://myanimelist.net/manga/42001/Song_of_the_Long_March
240,Ballroom e Youkoso,8.36,Manga (? vols),Nov 2011 -,https://myanimelist.net/manga/48347/Ballroom_e_Youkoso
241,Shimeji Simulation,8.35,Manga (? vols),Jan 2019 -,https://myanimelist.net/manga/117851/Shimeji_Simulation
242,Kieta Hatsukoi,8.35,Manga (9 vols),Jun 2019 - Jun 2022,https://myanimelist.net/manga/122906/Kieta_Hatsukoi
243,Mahoutsukai no Yome,8.35,Manga (? vols),Nov 2013 -,https://myanimelist.net/manga/61189/Mahoutsukai_no_Yome
244,Azumanga Daioh,8.35,Manga (4 vols),Jan 1999 - Mar 2002,https://myanimelist.net/manga/85/Azumanga_Daioh
245,Versailles no Bara,8.35,Manga (10 vols),1972 - 1973,https://myanimelist.net/manga/660/Versailles_no_Bara
246,Konjiki no Gash!!,8.35,Manga (33 vols),Jan 2001 - Dec 2007,https://myanimelist.net/manga/869/Konjiki_no_Gash
247,Kanata kara,8.35,Manga (14 vols),Sep 1991 - Jan 2003,https://myanimelist.net/manga/923/Kanata_kara
248,Buddha,8.35,Manga (14 vols),Sep 1972 - Nov 1983,https://myanimelist.net/manga/1111/Buddha
249,Black Jack,8.35,Manga (25 vols),Nov 1973 - Oct 1983,https://myanimelist.net/manga/1600/Black_Jack
